,Key_Code,Key,Adjacent,SecondAdjacent,ThirdAdjacent,FourthAdjacent,NonAdjacent,Side
0,192,Backquote,[49],"[81, 50]","[87, 65, 51]","[226, 83, 69, 90, 52]","[53, 54, 55, 56, 57, 48, 189, 187, 82, 84, 89, 85, 73, 79, 80, 219, 221, 68, 70, 71, 72, 74, 75, 76, 186, 222, 220, 88, 67, 86, 66, 78, 77, 188, 190, 191]",Left
1,49,1,"[192, 50, 81]","[87, 51, 65]","[69, 83, 52, 226, 90]","[68, 82, 88, 53]","[54, 55, 56, 57, 48, 189, 187, 84, 89, 85, 73, 79, 80, 219, 221, 70, 71, 72, 74, 75, 76, 186, 222, 220, 67, 86, 66, 78, 77, 188, 190, 191]",Left
2,50,2,"[51, 49, 81, 87]","[69, 52, 192, 65, 83]","[82, 68, 53, 226, 90, 88]","[70, 84, 67, 54]","[55, 56, 57, 48, 189, 187, 89, 85, 73, 79, 80, 219, 221, 71, 72, 74, 75, 76, 186, 222, 220, 86, 66, 78, 77, 188, 190, 191]",Left
3,51,3,"[50, 52, 87, 69]","[81, 82, 53, 49, 83, 65, 68]","[84, 70, 54, 192, 88, 90, 226, 67]","[71, 89, 86, 55]","[56, 57, 48, 189, 187, 85, 73, 79, 80, 219, 221, 72, 74, 75, 76, 186, 222, 220, 66, 78, 77, 188, 190, 191]",Left
4,52,4,"[51, 53, 82, 69]","[87, 84, 68, 50, 54, 70, 83]","[81, 89, 71, 65, 49, 55, 67, 88, 90, 86]","[72, 85, 226, 66, 192, 56]","[57, 48, 189, 187, 73, 79, 80, 219, 221, 74, 75, 76, 186, 222, 220, 78, 77, 188, 190, 191]",Left
5,53,5,"[54, 52, 82, 84]","[69, 89, 51, 55, 70, 71, 68]","[85, 87, 83, 72, 50, 56, 86, 67, 88, 66]","[65, 74, 73, 81, 90, 78]","[192, 49, 57, 48, 189, 187, 79, 80, 219, 221, 75, 76, 186, 222, 220, 226, 77, 188, 190, 191]",Left
6,54,6,"[53, 55, 84, 89]","[82, 85, 56, 71, 52, 70, 72]","[73, 69, 74, 68, 57, 51, 86, 66, 78, 67]","[75, 83, 79, 87, 88, 77]","[192, 49, 50, 48, 189, 187, 81, 80, 219, 221, 65, 76, 186, 222, 220, 226, 90, 188, 190, 191]",Left
7,55,7,"[54, 56, 85, 89]","[84, 73, 72, 53, 57, 74, 71]","[79, 82, 70, 75, 52, 48, 66, 78, 77, 86]","[76, 68, 69, 80, 188, 67]","[192, 49, 50, 51, 189, 187, 81, 87, 219, 221, 65, 83, 186, 222, 220, 226, 90, 88, 190, 191]",Right
8,56,8,"[57, 55, 85, 73]","[89, 79, 54, 74, 48, 75, 72]","[80, 84, 76, 71, 189, 53, 77, 78, 188, 66]","[70, 186, 219, 82, 86, 190]","[192, 49, 50, 51, 52, 187, 81, 87, 69, 221, 65, 83, 68, 222, 220, 226, 90, 88, 67, 191]",Right
9,57,9,"[56, 48, 73, 79]","[85, 80, 55, 189, 75, 76, 74]","[89, 219, 186, 72, 54, 187, 77, 188]","[190, 78, 222, 71]","[192, 49, 50, 51, 52, 53, 81, 87, 69, 82, 84, 221, 65, 83, 68, 70, 220, 226, 90, 88, 67, 86, 66, 191]",Right
10,48,0,"[57, 189, 80, 79]","[219, 73, 76, 56, 187, 75, 186]","[221, 85, 222, 74, 55, 188, 190, 77]","[191, 72, 220, 89]","[192, 49, 50, 51, 52, 53, 54, 81, 87, 69, 82, 84, 65, 83, 68, 70, 71, 226, 90, 88, 67, 86, 66, 78]",Right
